genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
pov: indie,0.709,0.48,11.0,-8.353,1.0,0.305,0.163,0.0,0.16,0.365,175.916,4.0
dutch edm,0.593,0.914,1.0,-5.351,1.0,0.0363,0.00137,0.445,0.0714,0.0381,128.015,4.0
alternative metal,0.572,0.961,7.0,-3.089,1.0,0.0625,0.000734,0.021,0.207,0.818,76.998,4.0
filmi,0.744,0.708,0.0,-6.073,0.0,0.0312,0.458,0.000486,0.207,0.486,120.017,4.0
filmi,0.526,0.639,0.0,-6.614,1.0,0.0322,0.49,1.46e-05,0.099,0.214,77.053,4.0
indian indie,0.682,0.97,2.0,-5.332,1.0,0.0459,0.00591,0.171,0.0448,0.959,137.954,4.0
alt z,0.676,0.634,8.0,-5.377,1.0,0.0385,0.701,1.63e-06,0.223,0.33,86.004,4.0
pop edm,0.648,0.724,0.0,-5.189,1.0,0.0263,0.0198,0.0,0.15,0.382,125.014,4.0
chill pop,0.445,0.537,4.0,-8.532,0.0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,4.0
classic rock,0.933,0.528,5.0,-6.472,0.0,0.162,0.112,0.329,0.163,0.756,109.975,4.0
glitch hop,0.384,0.455,6.0,-10.773,0.0,0.0348,0.414,0.838,0.0933,0.0359,100.018,4.0
canadian pop,0.686,0.538,2.0,-8.026,1.0,0.0345,0.181,3.13e-06,0.113,0.584,115.884,4.0
icelandic indie,0.221,0.34,9.0,-10.935,0.0,0.0314,0.806,0.989,0.104,0.0397,85.665,4.0
folk-pop,0.597,0.624,7.0,-6.931,1.0,0.0283,0.0947,8.62e-05,0.0946,0.84,104.541,4.0
dance pop,0.628,0.797,11.0,-3.953,0.0,0.0596,0.0364,0.0,0.104,0.321,106.93,4.0
anime,0.417,0.52,3.0,-4.872,1.0,0.0324,0.19,0.0,0.0783,0.346,123.934,3.0
ambient pop,0.369,0.467,5.0,-9.018,1.0,0.0274,0.0194,0.46,0.109,0.174,94.473,4.0
