,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
566,pop,0.672,0.526,4.0,-6.446,1.0,0.0599,0.0311,1.37e-06,0.28,0.28,123.999
567,alt z,0.588,0.625,0.0,-9.502,1.0,0.212,0.69,4.38e-06,0.0799,0.116,121.809
568,alt z,0.638,0.755,8.0,-5.614,0.0,0.0682,0.362,3.09e-06,0.329,0.739,169.953
569,alt z,0.647,0.319,9.0,-9.987,1.0,0.0367,0.827,0.0,0.133,0.267,126.243
570,singer-songwriter pop,0.646,0.576,2.0,-7.827,1.0,0.071,0.449,0.0,0.342,0.375,149.821
572,pop,0.53,0.748,10.0,-3.013,0.0,0.331,0.287,0.0,0.414,0.887,120.259
574,pop,0.613,0.581,0.0,-8.588,0.0,0.0424,0.537,0.000345,0.25,0.551,130.033
580,pop,0.665,0.635,11.0,-5.763,0.0,0.0446,0.0516,0.0,0.367,0.472,97.974
583,pop,0.709,0.774,10.0,-4.797,1.0,0.069,0.12,0.0,0.208,0.393,94.013
584,chill pop,0.661,0.776,8.0,-5.054,1.0,0.0366,0.125,0.000152,0.119,0.17,145.993
585,alt z,0.795,0.178,0.0,-11.991,1.0,0.0574,0.607,0.0,0.623,0.608,93.982
586,lo-fi study,0.547,0.377,11.0,-15.64,1.0,0.0362,0.68,0.945,0.0703,0.0537,80.032
588,alt z,0.589,0.446,7.0,-5.501,1.0,0.0285,0.0263,0.0,0.0869,0.292,81.983
592,singer-songwriter pop,0.654,0.535,9.0,-6.345,1.0,0.299,0.272,0.0,0.0594,0.828,93.786
596,pop,0.612,0.536,10.0,-6.537,0.0,0.157,0.697,0.0,0.131,0.603,132.251
600,pop,0.442,0.612,2.0,-7.222,1.0,0.112,0.584,5.7e-06,0.37,0.178,180.917
604,pop,0.766,0.64,0.0,-8.899,1.0,0.0345,0.051,0.0,0.237,0.67,100.044
605,pop,0.788,0.664,5.0,-6.633,0.0,0.0427,0.0775,2.8e-06,0.252,0.547,96.024
